op_carrier_fl_num,origin_city_name,dest_city_name,cancellation_code,year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,origin_state_nm,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,origin,carrier_delay,dest,weather_delay,nas_delay,security_delay,late_aircraft_delay
356,"Denver, CO","Fort Lauderdale, FL",,2024,2,11,7,2024/2/11,UA,Colorado,Florida,1355,1350,-5,17,1407,1932,3,1946,1935,-11,0,0,231,225,205,1703,DEN,0,FLL,0,0,0,0
2472,"Houston, TX","Washington, DC",,2024,8,14,3,2024/8/14,UA,Texas,Virginia,1650,1649,-1,20,1709,2047,3,2057,2050,-7,0,0,187,181,158,1208,IAH,0,DCA,0,0,0,0
2178,"San Antonio, TX","Dallas, TX",,2024,3,1,5,2024/3/1,WN,Texas,Texas,2040,2033,-7,5,2038,2127,3,2145,2130,-15,0,0,65,57,49,247,SAT,0,DAL,0,0,0,0
1402,"Fort Lauderdale, FL","New York, NY",,2024,4,29,1,2024/4/29,B6,Florida,New York,834,831,-3,17,848,1106,10,1130,1116,-14,0,0,176,165,138,1069,FLL,0,JFK,0,0,0,0
5598,"New York, NY","Savannah, GA",,2024,11,16,6,2024/11/16,YX,New York,Georgia,1820,1809,-11,35,1844,2026,6,2052,2032,-20,0,0,152,143,102,718,JFK,0,SAV,0,0,0,0
1307,"Phoenix, AZ","St. Louis, MO",,2024,5,4,6,2024/5/4,WN,Arizona,Missouri,1135,1135,0,13,1148,1619,5,1630,1624,-6,0,0,175,169,151,1262,PHX,0,STL,0,0,0,0
1083,"New York, NY","Orlando, FL",,2024,12,19,4,2024/12/19,B6,New York,Florida,959,1043,44,12,1055,1310,20,1259,1330,31,0,0,180,167,135,944,JFK,31,MCO,0,0,0,0
4802,"Denver, CO","Grand Junction, CO",,2024,11,4,1,2024/11/4,OO,Colorado,Colorado,2104,2059,-5,19,2118,2158,3,2215,2201,-14,0,0,71,62,40,212,DEN,0,GJT,0,0,0,0
5217,"New York, NY","Portland, ME",,2024,9,9,1,2024/9/9,9E,New York,Maine,1410,1401,-9,16,1417,1504,13,1537,1517,-20,0,0,87,76,47,269,LGA,0,PWM,0,0,0,0
95,"Seattle, WA","Juneau, AK",,2024,4,20,6,2024/4/20,AS,Washington,Alaska,2214,2209,-5,17,2226,2324,5,2341,2329,-12,0,0,147,140,118,909,SEA,0,JNU,0,0,0,0
1326,"Chicago, IL","Raleigh/Durham, NC",,2024,3,21,4,2024/3/21,WN,Illinois,North Carolina,800,753,-7,24,817,1043,2,1055,1045,-10,0,0,115,112,86,632,MDW,0,RDU,0,0,0,0
5146,"Savannah, GA","Washington, DC",,2024,1,3,3,2024/1/3,OH,Georgia,Virginia,739,730,-9,29,759,911,3,927,914,-13,0,0,108,104,72,519,SAV,0,DCA,0,0,0,0
5217,"Charlotte, NC","Harrisburg, PA",,2024,7,6,6,2024/7/6,OH,North Carolina,Pennsylvania,2235,30,115,19,49,152,7,23,159,96,0,0,108,89,63,413,CLT,0,MDT,4,0,0,92
2221,"Salt Lake City, UT","Dallas, TX",,2024,10,15,2,2024/10/15,WN,Utah,Texas,1030,1027,-3,9,1036,1343,4,1400,1347,-13,0,0,150,140,127,999,SLC,0,DAL,0,0,0,0
129,"Las Vegas, NV","Memphis, TN",,2024,3,15,5,2024/3/15,G4,Nevada,Tennessee,710,706,-4,20,726,1218,16,1229,1234,5,0,0,199,208,172,1416,LAS,0,MEM,0,0,0,0
3793,"Salt Lake City, UT","Long Beach, CA",,2024,1,11,4,2024/1/11,OO,Utah,California,1515,1515,0,32,1547,1610,4,1618,1614,-4,0,0,123,119,83,588,SLC,0,LGB,0,0,0,0
994,"Atlanta, GA","Phoenix, AZ",,2024,2,24,6,2024/2/24,DL,Georgia,Arizona,1625,1643,18,10,1653,1852,7,1844,1859,15,0,0,259,256,239,1587,ATL,15,PHX,0,0,0,0
3848,"Detroit, MI","Greer, SC",,2024,2,28,3,2024/2/28,OO,Michigan,South Carolina,1555,1553,-2,29,1622,1741,7,1740,1748,8,0,0,105,115,79,508,DTW,0,GSP,0,0,0,0
2433,"New York, NY","Tampa, FL",,2024,9,24,2,2024/9/24,DL,New York,Florida,1927,1923,-4,19,1942,2155,4,2223,2159,-24,0,0,176,156,133,1010,LGA,0,TPA,0,0,0,0
3533,"Jacksonville, FL","Chicago, IL",,2024,11,13,3,2024/11/13,MQ,Florida,Illinois,1600,1549,-11,14,1603,1708,14,1747,1722,-25,0,0,167,153,125,864,JAX,0,ORD,0,0,0,0
613,"Buffalo, NY","Charlotte, NC",,2024,4,22,1,2024/4/22,AA,New York,North Carolina,600,557,-3,10,607,729,9,757,738,-19,0,0,117,101,82,546,BUF,0,CLT,0,0,0,0
302,"Kansas City, MO","Los Angeles, CA",,2024,11,2,6,2024/11/2,NK,Missouri,California,525,520,-5,18,538,649,5,700,654,-6,0,0,215,214,191,1363,MCI,0,LAX,0,0,0,0
1018,"Seattle, WA","Boise, ID",,2024,11,14,4,2024/11/14,AS,Washington,Idaho,1122,1139,17,20,1159,1357,6,1351,1403,12,0,0,89,84,58,399,SEA,0,BOI,0,0,0,0
70,"Anchorage, AK","Juneau, AK",,2024,5,14,2,2024/5/14,AS,Alaska,Alaska,1940,1943,3,12,1955,2110,4,2118,2114,-4,0,0,98,91,75,571,ANC,0,JNU,0,0,0,0
1222,"West Palm Beach/Palm Beach, FL","Boston, MA",,2024,2,10,6,2024/2/10,B6,Florida,Massachusetts,1649,1703,14,10,1713,1949,6,2005,1955,-10,0,0,196,172,156,1197,PBI,0,BOS,0,0,0,0
2720,"Dallas/Fort Worth, TX","Tucson, AZ",,2024,1,23,2,2024/1/23,AA,Texas,Arizona,815,809,-6,12,821,919,6,945,925,-20,0,0,150,136,118,813,DFW,0,TUS,0,0,0,0
2907,"Charlotte, NC","Norfolk, VA",,2024,4,20,6,2024/4/20,AA,North Carolina,Virginia,1102,1054,-8,14,1108,1153,5,1223,1158,-25,0,0,81,64,45,290,CLT,0,ORF,0,0,0,0
1764,"Dallas, TX","St. Louis, MO",,2024,9,30,1,2024/9/30,WN,Texas,Missouri,1330,1329,-1,10,1339,1459,4,1515,1503,-12,0,0,105,94,80,546,DAL,0,STL,0,0,0,0
651,"Fresno, CA","Las Vegas, NV",,2024,6,24,1,2024/6/24,WN,California,Nevada,1050,1048,-2,11,1059,1146,8,1205,1154,-11,0,0,75,66,47,259,FAT,0,LAS,0,0,0,0
181,"Hilo, HI","Honolulu, HI",,2024,11,7,4,2024/11/7,HA,Hawaii,Hawaii,1030,1026,-4,22,1048,1138,9,1131,1147,16,0,0,61,81,50,216,ITO,16,HNL,0,0,0,0
1559,"Sacramento, CA","Long Beach, CA",,2024,4,21,7,2024/4/21,WN,California,California,705,701,-4,10,711,814,3,825,817,-8,0,0,80,76,63,387,SMF,0,LGB,0,0,0,0
996,"Houston, TX","Chicago, IL",,2024,10,11,5,2024/10/11,WN,Texas,Illinois,1355,1352,-3,9,1401,1601,4,1620,1605,-15,0,0,145,133,120,937,HOU,0,MDW,0,0,0,0
1525,"Atlanta, GA","Tampa, FL",,2024,6,28,5,2024/6/28,DL,Georgia,Florida,1215,1215,0,11,1226,1323,5,1338,1328,-10,0,0,83,73,57,406,ATL,0,TPA,0,0,0,0
5093,"Cincinnati, OH","New York, NY",,2024,7,7,7,2024/7/7,9E,Kentucky,New York,1853,1847,-6,12,1859,2031,7,2100,2038,-22,0,0,127,111,92,585,CVG,0,LGA,0,0,0,0
2056,"San Francisco, CA","Charlotte, NC",,2024,6,17,1,2024/6/17,AA,California,North Carolina,2159,2157,-2,14,2211,530,6,606,536,-30,0,0,307,279,259,2296,SFO,0,CLT,0,0,0,0
1149,"Santa Ana, CA","Seattle, WA",,2024,12,22,7,2024/12/22,AS,California,Washington,1015,1025,10,31,1056,1321,8,1316,1329,13,0,0,181,184,145,978,SNA,0,SEA,0,0,0,0
1447,"Burbank, CA","San Jose, CA",,2024,9,6,5,2024/9/6,WN,California,California,1105,1059,-6,19,1118,1206,4,1220,1210,-10,0,0,75,71,48,296,BUR,0,SJC,0,0,0,0
3443,"Newark, NJ","Indianapolis, IN",,2024,10,21,1,2024/10/21,YX,New Jersey,Indiana,1520,1513,-7,17,1530,1658,7,1734,1705,-29,0,0,134,112,88,645,EWR,0,IND,0,0,0,0
4303,"Boston, MA","Columbus, OH",,2024,1,31,3,2024/1/31,YX,Massachusetts,Ohio,1755,1748,-7,18,1806,1940,7,2019,1947,-32,0,0,144,119,94,640,BOS,0,CMH,0,0,0,0
2469,"Houston, TX","Cincinnati, OH",,2024,2,23,5,2024/2/23,UA,Texas,Kentucky,1958,2040,42,18,2058,2350,6,2320,2356,36,0,0,142,136,112,871,IAH,0,CVG,0,0,0,36
5841,"Denver, CO","Oklahoma City, OK",,2024,4,26,5,2024/4/26,OO,Colorado,Oklahoma,2059,2056,-3,55,2151,4,9,2348,13,25,0,0,109,137,73,495,DEN,25,OKC,0,0,0,0
5502,"Charlotte, NC","Allentown/Bethlehem/Easton, PA",,2024,9,9,1,2024/9/9,OH,North Carolina,Pennsylvania,1450,1445,-5,21,1506,1621,3,1643,1624,-19,0,0,113,99,75,481,CLT,0,ABE,0,0,0,0
1400,"Atlanta, GA","Washington, DC",,2024,8,23,5,2024/8/23,DL,Georgia,Virginia,825,820,-5,14,834,949,5,1009,954,-15,0,0,104,94,75,534,ATL,0,IAD,0,0,0,0
1733,"Houston, TX","Newark, NJ",,2024,8,14,3,2024/8/14,UA,Texas,New Jersey,1425,1431,6,17,1448,1902,6,1906,1908,2,0,0,221,217,194,1400,IAH,0,EWR,0,0,0,0
2240,"New York, NY","Denver, CO",,2024,7,31,3,2024/7/31,UA,New York,Colorado,1228,1354,86,21,1415,1600,9,1451,1609,78,0,0,263,255,225,1620,LGA,6,DEN,0,0,0,72
944,"Baltimore, MD","Orlando, FL",,2024,7,18,4,2024/7/18,WN,Maryland,Florida,1840,1931,51,11,1942,2142,15,2105,2157,52,0,0,145,146,120,787,BWI,0,MCO,0,1,0,51
1836,"Denver, CO","Milwaukee, WI",,2024,8,23,5,2024/8/23,UA,Colorado,Wisconsin,1010,1117,67,15,1132,1422,10,1336,1432,56,0,0,146,135,110,896,DEN,8,MKE,0,0,0,48
5220,"Charlotte, NC","Panama City, FL",,2024,10,28,1,2024/10/28,OH,North Carolina,Florida,1005,1005,0,22,1027,1039,37,1055,1116,21,0,0,110,131,72,437,CLT,0,ECP,0,21,0,0
1930,"New Orleans, LA","Nashville, TN",,2024,8,26,1,2024/8/26,WN,Louisiana,Tennessee,1435,1433,-2,15,1448,1556,6,1605,1602,-3,0,0,90,89,68,471,MSY,0,BNA,0,0,0,0
468,"West Palm Beach/Palm Beach, FL","White Plains, NY",,2024,2,20,2,2024/2/20,B6,Florida,New York,1018,1010,-8,11,1021,1244,6,1308,1250,-18,0,0,170,160,143,1056,PBI,0,HPN,0,0,0,0
3209,"Philadelphia, PA","Atlanta, GA",,2024,8,18,7,2024/8/18,F9,Pennsylvania,Georgia,1053,1049,-4,36,1125,1303,11,1310,1314,4,0,0,137,145,98,666,PHL,0,ATL,0,0,0,0
2370,"Dallas, TX","Omaha, NE",,2024,7,6,6,2024/7/6,WN,Texas,Nebraska,1745,1823,38,13,1836,2004,5,1925,2009,44,0,0,100,106,88,586,DAL,12,OMA,0,6,0,26
4095,"Washington, DC","Chicago, IL",,2024,6,29,6,2024/6/29,WN,Virginia,Illinois,1815,1833,18,13,1846,1918,3,1920,1921,1,0,0,125,108,92,601,DCA,0,MDW,0,0,0,0
1294,"Portland, OR","Burbank, CA",,2024,5,29,3,2024/5/29,AS,Oregon,California,1459,1447,-12,17,1504,1649,17,1715,1706,-9,0,0,136,139,105,817,PDX,0,BUR,0,0,0,0
326,"Washington, DC","Seattle, WA",,2024,4,19,5,2024/4/19,UA,Virginia,Washington,1730,1750,20,29,1819,2048,12,2018,2100,42,0,0,348,370,329,2306,IAD,20,SEA,0,22,0,0
5194,"New York, NY","Cleveland, OH",,2024,10,16,3,2024/10/16,9E,New York,Ohio,1659,1648,-11,25,1713,1816,5,1847,1821,-26,0,0,108,93,63,419,LGA,0,CLE,0,0,0,0
1324,"Denver, CO","Dallas/Fort Worth, TX",,2024,3,12,2,2024/3/12,F9,Colorado,Texas,501,456,-5,18,514,741,11,804,752,-12,0,0,123,116,87,641,DEN,0,DFW,0,0,0,0
3776,"Los Angeles, CA","Tucson, AZ",,2024,4,4,4,2024/4/4,OO,California,Arizona,1440,1440,0,26,1506,1608,3,1603,1611,8,0,0,83,91,62,451,LAX,0,TUS,0,0,0,0
2378,"Atlanta, GA","New York, NY",,2024,4,24,3,2024/4/24,DL,Georgia,New York,1959,1955,-4,18,2013,2156,11,2227,2207,-20,0,0,148,132,103,760,ATL,0,JFK,0,0,0,0
1974,"Orlando, FL","Nashville, TN",,2024,9,17,2,2024/9/17,WN,Florida,Tennessee,1340,1354,14,16,1410,1442,5,1440,1447,7,0,0,120,113,92,616,MCO,0,BNA,0,0,0,0
309,"Chicago, IL","Kansas City, MO",,2024,5,20,1,2024/5/20,AA,Illinois,Missouri,1901,2114,133,14,2128,2228,3,2041,2231,110,0,0,100,77,60,403,ORD,40,MCI,0,0,0,70
349,"Boston, MA","Savannah, GA",,2024,8,19,1,2024/8/19,B6,Massachusetts,Georgia,1445,1456,11,11,1507,1722,4,1728,1726,-2,0,0,163,150,135,901,BOS,0,SAV,0,0,0,0
1616,"Charlotte, NC","Kansas City, MO",,2024,5,8,3,2024/5/8,AA,North Carolina,Missouri,859,854,-5,14,908,1026,4,1022,1030,8,0,0,143,156,138,808,CLT,0,MCI,0,0,0,0
1333,"Denver, CO","New York, NY",,2024,4,28,7,2024/4/28,UA,Colorado,New York,1743,1736,-7,17,1753,2314,5,2330,2319,-11,0,0,227,223,201,1620,DEN,0,LGA,0,0,0,0
5353,"Detroit, MI","Chicago, IL",,2024,12,17,2,2024/12/17,OO,Michigan,Illinois,725,720,-5,24,744,740,16,805,756,-9,0,0,100,96,56,235,DTW,0,ORD,0,0,0,0
844,"Phoenix, AZ","Austin, TX",,2024,4,11,4,2024/4/11,AA,Arizona,Texas,906,905,-1,24,929,1313,9,1341,1322,-19,0,0,155,137,104,872,PHX,0,AUS,0,0,0,0
1095,"San Francisco, CA","Bend/Redmond, OR",,2024,7,30,2,2024/7/30,UA,California,Oregon,1035,1029,-6,29,1058,1205,8,1213,1213,0,0,0,98,104,67,462,SFO,0,RDM,0,0,0,0
2531,"New York, NY","Tampa, FL",,2024,8,21,3,2024/8/21,DL,New York,Florida,700,658,-2,21,719,935,4,949,939,-10,0,0,169,161,136,1010,LGA,0,TPA,0,0,0,0
502,"Orlando, FL","Birmingham, AL",,2024,5,30,4,2024/5/30,WN,Florida,Alabama,810,805,-5,17,822,837,2,850,839,-11,0,0,100,94,75,479,MCO,0,BHM,0,0,0,0
3297,"Lake Charles, LA","Dallas/Fort Worth, TX",,2024,1,6,6,2024/1/6,OO,Louisiana,Texas,1823,1811,-12,15,1826,1929,22,1949,1951,2,0,0,86,100,63,295,LCH,0,DFW,0,0,0,0
5121,"Chicago, IL","Salina, KS",,2024,8,31,6,2024/8/31,OO,Illinois,Kansas,1525,1523,-2,15,1538,1658,5,1727,1703,-24,0,0,122,100,80,559,ORD,0,SLN,0,0,0,0
1260,"San Francisco, CA","Los Angeles, CA",,2024,4,21,7,2024/4/21,UA,California,California,600,609,9,24,633,726,6,735,732,-3,0,0,95,83,53,337,SFO,0,LAX,0,0,0,0
5294,"Denver, CO","Casper, WY",,2024,7,3,3,2024/7/3,OO,Colorado,Wyoming,1540,1546,6,16,1602,1647,6,1652,1653,1,0,0,72,67,45,230,DEN,0,CPR,0,0,0,0
5619,"Washington, DC","Providence, RI",,2024,8,14,3,2024/8/14,OH,Virginia,Rhode Island,1253,1247,-6,23,1310,1410,4,1419,1414,-5,0,0,86,87,60,356,DCA,0,PVD,0,0,0,0
5009,"Minneapolis, MN","Pittsburgh, PA",,2024,4,7,7,2024/4/7,9E,Minnesota,Pennsylvania,859,858,-1,18,916,1150,4,1205,1154,-11,0,0,126,116,94,726,MSP,0,PIT,0,0,0,0
789,"Denver, CO","Austin, TX",,2024,11,5,2,2024/11/5,UA,Colorado,Texas,1325,1327,2,15,1342,1627,6,1638,1633,-5,0,0,133,126,105,775,DEN,0,AUS,0,0,0,0
2461,"Washington, DC","Portland, ME",,2024,7,4,4,2024/7/4,AA,Virginia,Maine,1501,1455,-6,14,1509,1616,5,1645,1621,-24,0,0,104,86,67,482,DCA,0,PWM,0,0,0,0
4676,"Washington, DC","Nashville, TN",,2024,2,10,6,2024/2/10,YX,Virginia,Tennessee,1728,1717,-11,16,1733,1819,12,1842,1831,-11,0,0,134,134,106,562,DCA,0,BNA,0,0,0,0
5159,"Manchester, NH","Washington, DC",,2024,1,7,7,2024/1/7,OH,New Hampshire,Virginia,1227,1226,-1,37,1303,1420,24,1423,1444,21,0,0,116,138,77,406,MHT,0,DCA,0,21,0,0
2135,"Charlotte, NC","Philadelphia, PA",,2024,10,13,7,2024/10/13,AA,North Carolina,Pennsylvania,1010,1007,-3,16,1023,1131,7,1149,1138,-11,0,0,99,91,68,449,CLT,0,PHL,0,0,0,0
1905,"Austin, TX","Houston, TX",,2024,9,24,2,2024/9/24,WN,Texas,Texas,1355,1351,-4,13,1404,1437,5,1455,1442,-13,0,0,60,51,33,148,AUS,0,HOU,0,0,0,0
3567,"Indianapolis, IN","Newark, NJ",,2024,12,28,6,2024/12/28,YX,Indiana,New Jersey,520,516,-4,13,529,659,14,730,713,-17,0,0,130,117,90,645,IND,0,EWR,0,0,0,0
1581,"Miami, FL","St. Louis, MO",,2024,4,30,2,2024/4/30,AA,Florida,Missouri,2113,2113,0,19,2132,2258,7,2326,2305,-21,0,0,193,172,146,1068,MIA,0,STL,0,0,0,0
1319,"San Francisco, CA","Seattle, WA",,2024,6,24,1,2024/6/24,AS,California,Washington,2151,2144,-7,17,2201,2329,11,2359,2340,-19,0,0,128,116,88,679,SFO,0,SEA,0,0,0,0
6139,"Honolulu, HI","Kahului, HI",,2024,5,9,4,2024/5/9,WN,Hawaii,Hawaii,1620,1613,-7,11,1624,1646,5,1705,1651,-14,0,0,45,38,22,100,HNL,0,OGG,0,0,0,0
1822,"San Diego, CA","Phoenix, AZ",,2024,2,18,7,2024/2/18,WN,California,Arizona,1655,1654,-1,14,1708,1905,7,1915,1912,-3,0,0,80,78,57,304,SAN,0,PHX,0,0,0,0
2360,"Tulsa, OK","Dallas/Fort Worth, TX",,2024,8,10,6,2024/8/10,AA,Oklahoma,Texas,1837,1827,-10,21,1848,1930,51,1955,2021,26,0,0,78,114,42,237,TUL,0,DFW,0,26,0,0
1064,"Minneapolis, MN","Denver, CO",,2024,10,24,4,2024/10/24,DL,Minnesota,Colorado,2155,2331,96,14,2345,19,17,2302,36,94,0,0,127,125,94,680,MSP,1,DEN,0,0,0,93
3653,"Washington, DC","Louisville, KY",,2024,6,9,7,2024/6/9,YX,Virginia,Kentucky,900,857,-3,10,907,1025,15,1044,1040,-4,0,0,104,103,78,451,IAD,0,SDF,0,0,0,0
1679,"Cincinnati, OH","Tampa, FL",,2024,10,3,4,2024/10/3,DL,Kentucky,Florida,1516,1515,-1,14,1529,1818,6,1719,1824,65,0,0,123,189,169,773,CVG,0,TPA,0,65,0,0
3429,"Newark, NJ","Chicago, IL",,2024,3,24,7,2024/3/24,MQ,New Jersey,Illinois,700,652,-8,14,706,807,29,853,836,-17,0,0,173,164,121,719,EWR,0,ORD,0,0,0,0
5497,"Detroit, MI","Cleveland, OH",,2024,6,2,7,2024/6/2,9E,Michigan,Ohio,845,842,-3,22,904,928,6,941,934,-7,0,0,56,52,24,95,DTW,0,CLE,0,0,0,0
2574,"New York, NY","West Palm Beach/Palm Beach, FL",,2024,1,24,3,2024/1/24,DL,New York,Florida,1108,1113,5,34,1147,1410,9,1420,1419,-1,0,0,192,186,143,1035,LGA,0,PBI,0,0,0,0
1850,"Chicago, IL","Houston, TX",,2024,10,22,2,2024/10/22,UA,Illinois,Texas,735,725,-10,35,800,1009,9,1026,1018,-8,0,0,171,173,129,925,ORD,0,IAH,0,0,0,0
455,"Boston, MA","Washington, DC",,2024,7,6,6,2024/7/6,B6,Massachusetts,Virginia,700,655,-5,11,706,817,7,845,824,-21,0,0,105,89,71,399,BOS,0,DCA,0,0,0,0
2181,"New York, NY","Chicago, IL",,2024,11,25,1,2024/11/25,WN,New York,Illinois,1115,1116,1,12,1128,1220,3,1245,1223,-22,0,0,150,127,112,725,LGA,0,MDW,0,0,0,0
1254,"Houston, TX","Atlanta, GA",,2024,9,30,1,2024/9/30,DL,Texas,Georgia,1900,1848,-12,11,1859,2130,19,2200,2149,-11,0,0,120,121,91,696,HOU,0,ATL,0,0,0,0
4869,"Dallas/Fort Worth, TX","Grand Junction, CO",,2024,10,10,4,2024/10/10,OO,Texas,Colorado,1446,1442,-4,17,1459,1549,6,1609,1555,-14,0,0,143,133,110,773,DFW,0,GJT,0,0,0,0
3363,"Cleveland, OH","Chicago, IL",,2024,6,18,2,2024/6/18,MQ,Ohio,Illinois,1301,1255,-6,13,1308,1300,15,1333,1315,-18,0,0,92,80,52,316,CLE,0,ORD,0,0,0,0
4719,"Denver, CO","Amarillo, TX",,2024,8,17,6,2024/8/17,OO,Colorado,Texas,1915,2152,157,15,2207,6,6,2144,12,148,0,0,89,80,59,359,DEN,0,AMA,0,0,0,148
4118,"Colorado Springs, CO","Las Vegas, NV",,2024,6,20,4,2024/6/20,WN,Colorado,Nevada,1535,1607,32,10,1617,1707,4,1630,1711,41,0,0,115,124,110,604,COS,10,LAS,0,9,0,22
2527,"Boston, MA","Dallas/Fort Worth, TX",,2024,11,2,6,2024/11/2,AA,Massachusetts,Texas,528,525,-3,15,540,818,30,904,848,-16,0,0,276,263,218,1562,BOS,0,DFW,0,0,0,0
152,"Baltimore, MD","Tampa, FL",,2024,11,12,2,2024/11/12,WN,Maryland,Florida,625,621,-4,10,631,833,5,910,838,-32,0,0,165,137,122,842,BWI,0,TPA,0,0,0,0
2934,"San Antonio, TX","Charlotte, NC",,2024,7,2,2,2024/7/2,AA,Texas,North Carolina,1754,1809,15,11,1820,2142,9,2150,2151,1,0,0,176,162,142,1095,SAT,0,CLT,0,0,0,0
5612,"Bend/Redmond, OR","Los Angeles, CA",,2024,1,31,3,2024/1/31,OO,Oregon,California,1940,1930,-10,12,1942,2139,14,2155,2153,-2,0,0,135,143,117,726,RDM,0,LAX,0,0,0,0
1905,"Houston, TX","Seattle, WA",,2024,6,13,4,2024/6/13,UA,Texas,Washington,2000,2032,32,23,2055,2255,8,2243,2303,20,0,0,283,271,240,1874,IAH,20,SEA,0,0,0,0
1537,"Houston, TX","Denver, CO",,2024,2,24,6,2024/2/24,WN,Texas,Colorado,650,651,1,10,701,824,6,820,830,10,0,0,150,159,143,883,HOU,0,DEN,0,0,0,0
1734,"San Diego, CA","San Francisco, CA",,2024,1,6,6,2024/1/6,UA,California,California,730,801,31,18,819,930,3,911,933,22,0,0,101,92,71,447,SAN,22,SFO,0,0,0,0
1812,"Fort Myers, FL","Newark, NJ",,2024,11,21,4,2024/11/21,B6,Florida,New Jersey,1110,1111,1,17,1128,1338,8,1358,1346,-12,0,0,168,155,130,1068,RSW,0,EWR,0,0,0,0
511,"New York, NY","Las Vegas, NV",,2024,12,19,4,2024/12/19,B6,New York,Nevada,959,946,-13,32,1018,1237,10,1249,1247,-2,0,0,350,361,319,2248,JFK,0,LAS,0,0,0,0
882,"Orlando, FL","Nashville, TN",,2024,10,6,7,2024/10/6,WN,Florida,Tennessee,1645,1644,-1,27,1711,1742,5,1745,1747,2,0,0,120,123,91,616,MCO,0,BNA,0,0,0,0
3996,"Austin, TX","Miami, FL",,2024,2,10,6,2024/2/10,MQ,Texas,Florida,1640,1635,-5,10,1645,1952,8,2020,2000,-20,0,0,160,145,127,1103,AUS,0,MIA,0,0,0,0
5308,"Moline, IL","Charlotte, NC",,2024,9,14,6,2024/9/14,OH,Illinois,North Carolina,1330,1322,-8,15,1337,1608,24,1642,1632,-10,0,0,132,130,91,674,MLI,0,CLT,0,0,0,0
3562,"Chicago, IL","Duluth, MN",,2024,9,11,3,2024/9/11,YX,Illinois,Minnesota,2007,2033,26,18,2051,2151,7,2153,2158,5,0,0,106,85,60,397,ORD,0,DLH,0,0,0,0
5658,"Minot, ND","Denver, CO",,2024,8,4,7,2024/8/4,OO,North Dakota,Colorado,1700,1652,-8,15,1707,1746,11,1804,1757,-7,0,0,124,125,99,604,MOT,0,DEN,0,0,0,0
5734,"Madison, WI","Washington, DC",,2024,3,8,5,2024/3/8,YX,Wisconsin,Virginia,1755,1749,-6,10,1759,2034,7,2059,2041,-18,0,0,124,112,95,707,MSN,0,DCA,0,0,0,0
1612,"Philadelphia, PA","Los Angeles, CA",,2024,8,12,1,2024/8/12,AA,Pennsylvania,California,525,522,-3,14,536,755,7,800,802,2,0,0,335,340,319,2402,PHL,0,LAX,0,0,0,0
1253,"Atlanta, GA","Detroit, MI",,2024,6,19,3,2024/6/19,DL,Georgia,Michigan,1959,1957,-2,18,2015,2140,5,2154,2145,-9,0,0,115,108,85,594,ATL,0,DTW,0,0,0,0
215,"Sarasota/Bradenton, FL","Chicago, IL",,2024,12,29,7,2024/12/29,UA,Florida,Illinois,1415,1530,75,79,1649,1810,12,1623,1822,119,0,0,188,232,141,1050,SRQ,0,ORD,0,44,0,75
3066,"Newark, NJ","Valparaiso, FL",,2024,7,11,4,2024/7/11,G4,New Jersey,Florida,1255,1257,2,17,1314,1430,4,1440,1434,-6,0,0,165,157,136,988,EWR,0,VPS,0,0,0,0
5306,"San Francisco, CA","Reno, NV",,2024,5,16,4,2024/5/16,OO,California,Nevada,2240,2237,-3,18,2255,2332,5,2359,2337,-22,0,0,79,60,37,192,SFO,0,RNO,0,0,0,0
2689,"St. Petersburg, FL","Toledo, OH",,2024,3,10,7,2024/3/10,G4,Florida,Ohio,630,627,-3,10,637,853,4,856,857,1,0,0,146,150,136,945,PIE,0,TOL,0,0,0,0
5051,"Raleigh/Durham, NC","Newark, NJ",,2024,8,9,5,2024/8/9,9E,North Carolina,New Jersey,741,915,94,19,934,1045,7,919,1052,93,0,0,98,97,71,416,RDU,93,EWR,0,0,0,0
314,"Little Rock, AR","St. Louis, MO",,2024,7,28,7,2024/7/28,WN,Arkansas,Missouri,1840,1842,2,9,1851,1939,9,1950,1948,-2,0,0,70,66,48,296,LIT,0,STL,0,0,0,0
3994,"Seattle, WA","San Jose, CA",,2024,11,23,6,2024/11/23,OO,Washington,California,1755,1744,-11,27,1811,2007,3,2013,2010,-3,0,0,138,146,116,696,SEA,0,SJC,0,0,0,0
3947,"Tampa, FL","Dallas, TX",,2024,7,5,5,2024/7/5,WN,Florida,Texas,1940,2014,34,9,2023,2128,4,2105,2132,27,0,0,145,138,125,917,TPA,0,DAL,10,0,0,17
2049,"Sacramento, CA","Ontario, CA",,2024,6,29,6,2024/6/29,WN,California,California,2110,2110,0,7,2117,2216,4,2230,2220,-10,0,0,80,70,59,390,SMF,0,ONT,0,0,0,0
2809,"Nashville, TN","Philadelphia, PA",,2024,4,11,4,2024/4/11,AA,Tennessee,Pennsylvania,600,547,-13,13,600,822,5,900,827,-33,0,0,120,100,82,675,BNA,0,PHL,0,0,0,0
1976,"Boston, MA","Houston, TX",,2024,10,30,3,2024/10/30,UA,Massachusetts,Texas,1335,1330,-5,14,1344,1651,4,1708,1655,-13,0,0,273,265,247,1597,BOS,0,IAH,0,0,0,0
