op_carrier_fl_num,origin_city_name,dest_city_name,cancellation_code,year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,origin_state_nm,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,origin,carrier_delay,dest,weather_delay,nas_delay,security_delay,late_aircraft_delay
461,"Dallas/Fort Worth, TX","New York, NY",,2024,10,6,7,2024/10/6,DL,Texas,New York,600,556,-4,14,610,1002,5,1032,1007,-25,0,0,212,191,172,1389,DFW,0,LGA,0,0,0,0
5581,"Chicago, IL","Fort Wayne, IN",,2024,10,7,1,2024/10/7,OO,Illinois,Indiana,1405,1358,-7,39,1437,1608,4,1613,1612,-1,0,0,68,74,31,157,ORD,0,FWA,0,0,0,0
1576,"Providence, RI","Charlotte, NC",,2024,2,8,4,2024/2/8,AA,Rhode Island,North Carolina,1004,957,-7,9,1006,1148,7,1226,1155,-31,0,0,142,118,102,683,PVD,0,CLT,0,0,0,0
4108,"Los Angeles, CA","Albuquerque, NM",,2024,9,21,6,2024/9/21,OO,California,New Mexico,829,918,49,23,941,1205,8,1130,1213,43,0,0,121,115,84,677,LAX,43,ABQ,0,0,0,0
2107,"Minneapolis, MN","Santa Ana, CA",,2024,6,30,7,2024/6/30,DL,Minnesota,California,1815,1811,-4,14,1825,1956,5,2014,2001,-13,0,0,239,230,211,1522,MSP,0,SNA,0,0,0,0
2532,"Orlando, FL","Denver, CO",,2024,7,28,7,2024/7/28,WN,Florida,Colorado,1600,1815,135,17,1832,1948,7,1810,1955,105,0,0,250,220,196,1546,MCO,0,DEN,105,0,0,0
1565,"Harlingen/San Benito, TX","Dallas, TX",,2024,11,20,3,2024/11/20,WN,Texas,Texas,1200,1200,0,8,1208,1320,4,1335,1324,-11,0,0,95,84,72,458,HRL,0,DAL,0,0,0,0
1872,"Chicago, IL","Newark, NJ",,2024,9,3,2,2024/9/3,AA,Illinois,New Jersey,704,659,-5,18,717,948,11,1010,959,-11,0,0,126,120,91,719,ORD,0,EWR,0,0,0,0
2584,"Houston, TX","Jacksonville, FL",,2024,12,21,6,2024/12/21,WN,Texas,Florida,2050,2213,83,10,2223,103,5,2350,108,78,0,0,120,115,100,816,HOU,14,JAX,0,0,0,64
2868,"Detroit, MI","St. Louis, MO",,2024,5,9,4,2024/5/9,DL,Michigan,Missouri,840,843,3,21,904,921,4,919,925,6,0,0,99,102,77,440,DTW,0,STL,0,0,0,0
