arr_delay,op_carrier_fl_num,origin_state_nm,dest_state_nm,wheels_off,wheels_on,origin_city_name,dest_city_name,cancellation_code,year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,crs_dep_time,dep_time,dep_delay,taxi_out,taxi_in,crs_arr_time,arr_time,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,origin,dest
-23.0,1339,Illinois,Montana,821.0,1025.0,"Chicago, IL","Kalispell, MT",,2024,10,3,4,2024-10-03,AA,813,809.0,-4.0,12.0,3.0,1051,1028.0,0,0,218.0,199.0,184.0,1352.0,0,0,0,0,0,ORD,FCA
-21.0,1269,Illinois,Florida,2002.0,2249.0,"Chicago, IL","Jacksonville, FL",,2024,4,30,2,2024-04-30,UA,1948,1944.0,-4.0,18.0,5.0,2315,2254.0,0,0,147.0,130.0,107.0,864.0,0,0,0,0,0,ORD,JAX
8.0,2247,Utah,Illinois,854.0,1230.0,"Salt Lake City, UT","Chicago, IL",,2024,7,27,6,2024-07-27,DL,830,837.0,7.0,17.0,18.0,1240,1248.0,0,0,190.0,191.0,156.0,1250.0,0,0,0,0,0,SLC,ORD
-15.0,1079,California,Utah,539.0,751.0,"Sacramento, CA","Salt Lake City, UT",,2024,2,18,7,2024-02-18,DL,530,526.0,-4.0,13.0,4.0,810,755.0,0,0,100.0,89.0,72.0,532.0,0,0,0,0,0,SMF,SLC
35.0,1,New York,California,755.0,1042.0,"New York, NY","Los Angeles, CA",,2024,2,5,1,2024-02-05,AA,700,737.0,37.0,18.0,18.0,1025,1100.0,0,0,385.0,383.0,347.0,2475.0,35,0,0,0,0,JFK,LAX
-9.0,3988,Kentucky,Michigan,1034.0,1128.0,"Louisville, KY","Detroit, MI",,2024,7,3,3,2024-07-03,OO,1027,1019.0,-8.0,15.0,8.0,1145,1136.0,0,0,78.0,77.0,54.0,306.0,0,0,0,0,0,SDF,DTW
-21.0,5676,California,Washington,1351.0,1526.0,"San Francisco, CA","Spokane, WA",,2024,8,16,5,2024-08-16,OO,1340,1332.0,-8.0,19.0,5.0,1552,1531.0,0,0,132.0,119.0,95.0,733.0,0,0,0,0,0,SFO,GEG
-11.0,2045,California,Florida,1327.0,2124.0,"San Francisco, CA","Miami, FL",,2024,5,27,1,2024-05-27,AA,1307,1302.0,-5.0,25.0,15.0,2150,2139.0,0,0,343.0,337.0,297.0,2585.0,0,0,0,0,0,SFO,MIA
-12.0,3669,Mississippi,Texas,900.0,1007.0,"Jackson/Vicksburg, MS","Dallas/Fort Worth, TX",,2024,7,13,6,2024-07-13,MQ,854,850.0,-4.0,10.0,16.0,1035,1023.0,0,0,101.0,93.0,67.0,408.0,0,0,0,0,0,JAN,DFW
-14.0,1923,Colorado,Montana,1347.0,1505.0,"Denver, CO","Bozeman, MT",,2024,10,21,1,2024-10-21,UA,1340,1332.0,-8.0,15.0,4.0,1523,1509.0,0,0,103.0,97.0,78.0,524.0,0,0,0,0,0,DEN,BZN
-2.0,2221,California,Virginia,841.0,1602.0,"San Diego, CA","Washington, DC",,2024,5,23,4,2024-05-23,UA,825,819.0,-6.0,22.0,11.0,1615,1613.0,0,0,290.0,294.0,261.0,2253.0,0,0,0,0,0,SAN,IAD
42.0,5075,North Carolina,Ohio,1942.0,2040.0,"Charlotte, NC","Dayton, OH",,2024,12,29,7,2024-12-29,OH,1822,1918.0,56.0,24.0,6.0,2004,2046.0,0,0,102.0,88.0,58.0,370.0,0,11,0,0,31,CLT,DAY
-2.0,456,Colorado,Florida,1408.0,1928.0,"Denver, CO","Miami, FL",,2024,1,2,2,2024-01-02,UA,1355,1352.0,-3.0,16.0,21.0,1951,1949.0,0,0,236.0,237.0,200.0,1709.0,0,0,0,0,0,DEN,MIA
-1.0,301,New York,New York,2011.0,2106.0,"Buffalo, NY","New York, NY",,2024,12,9,1,2024-12-09,B6,1942,1955.0,13.0,16.0,4.0,2111,2110.0,0,0,89.0,75.0,55.0,301.0,0,0,0,0,0,BUF,JFK
4.0,1891,Virginia,New Jersey,621.0,707.0,"Washington, DC","Newark, NJ",,2024,10,29,2,2024-10-29,UA,600,605.0,5.0,16.0,11.0,714,718.0,0,0,74.0,73.0,46.0,212.0,0,0,0,0,0,IAD,EWR
